Sample,Strain,THC-Total,CBD-Total
The White,,27.67%,0.23%
Blue Jack,,21.87%,0.18%
Durban Poison,,18.89%,0.23%
Cin-x,,16.04%,0.23%
Crippled Tiger,,28.20%,0.27%
Blackberry Kush,,24.37%,0.23%
Lavender,,20.55%,0.15%
Yeti OG,,21.19%,0.13%
Mark’s Weed Bud,,19.91%,0.17%
Mark’s Weed Loose,,21.41%,0.14%
Deep Green Flower 16-2,,0.69%,12.30%
Hawaiian,,19.80%,0.19%
Harle Tsu,,0.54%,9.79%
Middle Fork,,21.07%,0.12%
Papaya,,16.22%,0.13%
Sample A,,24.25%,0.15%
ATF,,21.02%,0.12%
9lb Hammer,,23.93%,0.35%
Adonis A,,17.22%,0.14%
Blackberry Pie,,18.49%,0.21%
Fire Alien Kush,,16.01%,0.09%
White Romulan A,,13.02%,0.14%
Purple Haze,,15.10%,0.10%
Kali Mist Sativa Harvest 10/15,,22.19%,0.28%
Citrali / Pakistani Indica Harvest 10/15,,13.81%,0.11%
CBD Skunk Haze Harvest 10/15,,14.45%,0.14%
The Sauce #6,,16.15%,0.14%
The Sauce #7,,18.10%,0.14%
Dutch Treat,,27.59%,0.26%
AC/DC,,1.07%,16.25%
Lemon Dutch,,24.25%,0.25%
Dairy Queen,,15.29%,0.16%
Gorilla Glue #4,,17.56%,0.09%
Camelot Kush,,16.55%,0.13%
Epoxy OG,,23.10%,0.21%
Kush Dream,,21.84%,0.17%
Intimidator OG,,N/A,N/A
Platinum Girl Scout Cookies,,16.26%,0.11%
Dutch Treat,,13.81%,0.25%
Girl Scout Cookies,,13.57%,0.25%
Maui Waui,,12.92%,0.33%
Maui Widow #1,,14.00%,0.16%
Maui Widow #1,,18.34%,0.03%
Girl Scout Cookie Platinum,,17.31%,0.12%
Jilly Bean,,20.63%,0.15%
William’s Wonder,,19.08%,0.27%
Permafrost,,19.66%,0.14%
Sugar Plum,,25.77%,0.21%
Super Silver Haze,,21.00%,0.09%
Cannatonic,,6.18%,4.88%
The White,,22.18%,0.17%
ACDC,,1.08%,14.31%
Orange Skunk,,19.48%,0.12%
D.A. Boggle Gum,,15.38%,0.16%
Dr. Who,,18.11%,0.19%
Frankenberry,,16.45%,0.13%
Purple Jolly Rancher,,17.28%,0.21%
Frankenstein S1,,24.82%,0.24%
Cookies N Cream,,27.23%,0.24%
Canna-Tsu #19 Male,,0.53%,1.26%
Canna-Tsu #16 Male,,1.60%,< 0.01%
Harle-Tsu #7Male,,0.14%,2.42%
Harle-Tsu #4 Male,,0.12%,0.96%
Harle-Tsu #2 Male,,0.07%,0.82%
ACDC x Bubster #47 Male,,0.95%,0.96%
ACDC x Bubster #14 Male,,0.87%,< 0.01%
