id_x,names,type,crosses,breeder,effects,ailment,flavor,name,category,THC-Total,CBD-Total
3307,Aurora Haze,Hybrid,,Unknown Breeder,,,,,,,
3308,Electric Blues Dream,Hybrid,,Unknown Breeder,,,,,,,
3309,Super Maui Dawg,Hybrid,,Unknown Breeder,,,,,,,
3310,Maui Girl,Hybrid,,Otis Gardens,,,,,,,
3311,Green Tea,Hybrid,,Unknown Breeder,,,,,,,
3312,Blueberry Express,Hybrid,,Unknown Breeder,,,,,,,
3313,Blue Coma,Hybrid,,Unknown Breeder,,,,,,,
3314,OG x Super Sour Diesel,Hybrid,,Unknown Breeder,,,,OG x Super Sour Diesel - Shatter,"Concentrate,Shatter,",,
3315,Cinderella 99 x Champagne,Hybrid,,Unknown Breeder,,,,Cinderella 99 x Champagne - Crumble,"Concentrate,Crumble,Wax,",,
3316,Bubble Goo,Hybrid,,Sick Meds Seeds,,,,,,,
3317,Bloo Goo,Hybrid,,Unknown Breeder,,,,,,,
3318,Boston George,Hybrid,,Unknown Breeder,,,,,,,
3319,White Dynamite,Hybrid,,Unknown Breeder,,,,,,,
3320,Harlequin #4,Hybrid,,Unknown Breeder,,,,,,,
3321,Katsu Bubba Kush x Thai,Hybrid,,Fusion Seeds,,,,Katsu Bubba Kush x Thai - Wax,"Concentrate,Wax,",,
3322,Purple Yoda,Hybrid,,Unknown Breeder,,,,Purple Yoda - Shatter,"Concentrate,Shatter,",,
3323,Purple Heart (Alphakronik),Hybrid,,Alpha Kronik Genes,,,,,,,
3324,Purple Heart (Riot),Hybrid,,Riot Seeds,,,,,,,
3325,P.O.W.,Hybrid,,Hazeman Seeds,,,,,,,
3326,Purple Heart,Hybrid,,Almighty Seeds,,,,Purple Heart - Oil,"Concentrate,Oil,",,
3327,Champagne Diesel,Hybrid,,Unknown Breeder,,,,Champagne Diesel - Water Hash,"Concentrate,Bubble Hash,",,
3328,The Rump OG,Hybrid,,Unknown Breeder,,,,The Rump OG - Shatter,"Concentrate,Shatter,",,
3329,Biscotti,Hybrid,,Unknown Breeder,,,,Biscotti - Shatter,"Concentrate,Shatter,",,
3330,Oreo Cake,Hybrid,,Unknown Breeder,,,,Oreo Cake - Shatter,"Concentrate,Shatter,",,
3331,J-AC/DC-K,Hybrid,,Unknown Breeder,,,,J-AC/DC-K - Oil,"Concentrate,Oil,",,
3332,Tsu Jack City,Hybrid,,Unknown Breeder,,,,Tsu Jack City - Shatter,"Concentrate,Shatter,",,
3333,G Sin X,Hybrid,,Unknown Breeder,,,,G Sin X - Shatter,"Concentrate,Shatter,",,
3334,The Underchunk,Hybrid,,Equilibrium Genetics,,,,The Underchunk - Shatter,"Concentrate,Shatter,",,
3335,Oracle,Hybrid,,Unknown Breeder,,,,Oracle - Vaporizer Cartridge,"Vapes,Vape Cartidge,",,
3336,Grape x OG #18,Hybrid,,Unknown Breeder,,,,Grape x OG #18 - Shatter,"Concentrate,Shatter,",,
3337,Cali Connection,Hybrid,,Unknown Breeder,,,,,,,
3338,Warlock Queen,Hybrid,,Unknown Breeder,,,,,,,
3339,Sutter Kush,Hybrid,,Unknown Breeder,,,,,,,
3340,Raw Glue,Hybrid,,Raw Genetics,,,,,,,
3341,Betty Crocker,Hybrid,,Raw Genetics,,,,,,,
3342,Pink Warhead,Hybrid,,Raw Genetics,,,,,,,
3343,Raw Cookies,Hybrid,,Raw Genetics,,,,,,,
3344,Grandpas Breath F2,Hybrid,,Dungeons Vault Genetics,,,,,,,
3345,Alion,Hybrid,,Pacific NW Roots,,,,,,,
3346,Platinum Girl Scout Candy,Hybrid,,Mad Scientist,,,,,,,
